Prolific_ID,Valid_Entries,Payment (£)
5edeea354d54cb1a825aa8f9,31,8.0
5ef39c45c154ff120c5e84b8,26,8.0
67646659b6ab85cd552decf1,23,8.0
67a3c5e78c483a6d93114bb5,23,8.0
648746670a6ffb0022fdb933,23,8.0
655f8d942652c2e7defdb816,22,8.0
56d7623f04c67d000c7b9de6,22,8.0
5e53e8d0a0002e3ee42be086,21,8.0
654f89d4924d0d5a050f375d,21,8.0
660b46f30e0078173c658320,20,8.0
6772c5ec9aa61cab9a3cd8c6,20,8.0
63d7d315ebf6c98c92c2a7a1,20,8.0
6763ad169c28727881cabe7f,15,7.5
67366fdf3695cee0c68c6339,15,7.5
674fd5c48fbde512501db186,15,7.5
60c029faa1d9b671a584f3ca,15,7.5
62fd14d7b1e0729dc8aadb79,14,7.0
6654ec982cb90af6e8bc7219,14,7.0
6736aaf79268c6121b012a63,14,7.0
66df49caa6df07d77078a5fd,13,6.5
62da5ffdd666bd90db19b4e9,12,6.0
6709d766da2307f9438df9ee,12,6.0
665629a30c7e3f40e8f3d1d5,12,6.0
661fde173a4e7fbc73fd8367,11,5.5
665910d96668b5777caab931,11,5.5
Luca-Maxim Meinhardt,11,5.5
66f69dcc061074dacb886b52,10,5.0
63d1957ba19644f6c749c001,10,5.0
652ebf9490189b8b57f1ce35,9,4.5
5869950b8596530001079aba,9,4.5
678ce1ebd56c85701ebce209,8,4.0
62fc25ef4ce0d3d169b7a120,8,4.0
55cff4a834e9060012e57407,8,4.0
676749381fe84453ec46e9b8,8,4.0
6416533bd4ee6639c3df6040,8,4.0
67768d5e8b0341abb0f7ef1f,8,4.0
6750bac54816fc7028a10a46,8,4.0
673e1365dd4456c908190114,8,4.0
5ad3bfc75b53cb0001f35839,8,4.0
5e27fa29d91131a0838c9571,7,3.5
679a0366c8793f4845badfd6,7,3.5
6283e5cee0833a2307ddeb0f,7,3.5
672a56a48f56810ca01f305c,7,3.5
672ba4b271f34057eb25f408,7,3.5
6658b1babc17230af657c303,6,3.0
67929fedf3f6f88cbbb925ab,6,3.0
676998e4f6daae6e1a643595,6,3.0
6659e2efdb732dbd7f707a98,6,3.0
67768cb5c78ca6942d258211,6,3.0
663a8c84b8e7c046d854c8dd,6,3.0
62df0a2b7302265dcb0b7c58,6,3.0
65bfb574e58552a0a8fc639d,5,2.5
660ff598a3391e9b7d8feab4,5,2.5
5fc3d41149c0c8728f07b95b,5,2.5
66eddcfe67e927db6f0a4768,5,2.5
66d1a7a177452f9dc664c908,5,2.5
6674289815bec3913b84eed5,5,2.5
62d159b0e1b591ec1e8e27c8,5,2.5
5fe18e1c8929f0c2a41e43d8,5,2.5
66293ce3dba0764775195e58,5,2.5
59900f959d487e0001ac3a8e,4,2.0
66ce36b5ec965c47b1884230,4,2.0
661db80bbbbc4861da7f75dd,4,2.0
67461d8bda44253bd6e2d689,4,2.0
678b8b6f4d1425ef3b30bd32,4,2.0
665a081994dc662744486887,4,2.0
5a1d8489ab721b0001ef95cc,4,2.0
6659f68e2b387f043c276d92,4,2.0
664521e03117b782ed4fff45,3,1.5
67df5cb767ae66f6f41019d3,3,1.5
5cc020d5159f790017bee28b,3,1.5
55a8c7affdf99b33d8aff983,3,1.5
643918b7df602a9f3f3f66d7,3,1.5
627e79a6e1f2b10601861ca6,3,1.5
5ff61f4fe313fd16fbeb5af6,3,1.5
67617e1e4f544c35e920d809,3,1.5
6760eb1bd8f2c26a870800b6,3,1.5
5ef78f819d93424af2af742b,3,1.5
673bd765ee70ef05996bfede,2,1.0
6761944486ce83768479f637,2,1.0
586400dfec49b5000158fbea,2,1.0
5d5407dc922257000153657f,2,1.0
6762aff824e4f12278e6d3fd,2,1.0
60c8467d9872c0d83f695499,2,1.0
673321669f5c5d443040682b,2,1.0
654e37fa26d78df94fd43c1a,2,1.0
6400d8e645e80091a53f9b21,2,1.0
67007d655b10fbe2d93c3508,2,1.0
6151e69a392433707e7a9dfb,2,1.0
66de746bcfef35f46e85ed0f,2,1.0
6034cf3c1dac215c6fe31624,2,1.0
66be3ed60ce8896e4feb1003,2,1.0
5c0522c69cfe460001799999,1,0.5
5928df79366dc80001d0b788,1,0.5
632b947efa9da6a9bde31f94,1,0.5
6659f77ee4fd69fa455cc86a,1,0.5
66774233add67a4a8e71398e,1,0.5
6785c695a07c912f4f5a105d,1,0.5
6778196d593a47bb67125931,1,0.5
5a6d5ae19d65ec00017e9bae,1,0.5
66c5fd9cd88ff2690f682cec,1,0.5
5c328af23f5d210001834f82,1,0.5
5e53b07f83c96c3ad4f34751,1,0.5
5e8cf14c0bec230b335e060d,1,0.5
6703370d69c922c9c282ef5c,1,0.5
5ec45929c1172f33f0a9d331,1,0.5
67055b370e3c0c4965a03128,1,0.5
6746a9ccaebffc616adf8386,1,0.5
60e2f29d1b210b7492202572,1,0.5
6723b24542d9de1e1f65b9e4,1,0.5
5588b2bffdf99b7a7714efd1,1,0.5
